Oz40MW,siemens415W,siemens450W,aurecon1MW
0,0.252029561,0.246708039,0.216176
0,0.184308553,0.177687274,0.144728
0,0.116587545,0.108666509,0.07786
0,0,0,0.010076
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.00E+00,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0.015157351,0.016066347,0
0,0.083737788,0.079352518,0.047632
0,0.152318225,0.142638689,0.120912
0,0.220898662,0.205924861,0.195108
0,0.289479099,0.269211032,0.266556
0,0.358059536,0.332497203,0.345332
0,0.426639974,0.395783375,0.429604
0,0.464641315,0.439051111,0.512044
0,0.502642656,0.482318847,0.639368
0,0.540643997,0.525586584,0.722724
0,0.578645338,0.56885432,0.731884
0,0.616646679,0.612122056,0.695244
0,0.65464802,0.655389793,0.687916
0,0.653282567,0.654002611,0.687
0.693079492,0.651917113,0.65261543,0.687916
0.718714668,0.650551659,0.651228249,0.688832
0.743661012,0.649186205,0.649841068,0.686084
0.766924664,0.647820751,0.648453886,0.68242
0.788447,0.646455298,0.647066705,0.68242
0.810042616,0.642799492,0.643453241,0.679672
0.829152208,0.639143686,0.639839777,0.678756
0.848695984,0.63548788,0.636226312,0.676008
