wind,solar,base,float
3.230462222,0,20,1500
3.346515,0,20,1500
3.372572778,0,20,1500
3.392125556,0,20,1500
3.340523333,0,20,1500
3.326410556,0,20,1500
2.945364444,0,20,1500
2.28553,0.0184276,20,1500
1.730663889,0.39112,20,1500
2.227559444,0.54824,20,1500
1.531007778,0.75342,20,1500
0.983758889,0.8721,20,1500
0.516876333,0.93208,20,1500
0.308598833,0.9508,20,1500
0.222768722,0.81244,20,1500
0.180213722,0.81842,20,1500
0.392896167,0.69884,20,1500
0.520440722,0.56534,20,1500
0.822043889,0.3505,20,1500
0.775047222,0.095704,20,1500
1.458485,0,20,1500
2.326571111,0,20,1500
2.437603889,0,20,1500
2.332916111,0,20,1500
2.554085556,0,20,1500
3.044740556,0,20,1500
3.574155,0,20,1500
3.544045556,0,20,1500
3.361470556,0,20,1500
2.970868889,0,20,1500
3.247420556,0,20,1500
3.421146111,0.030436,20,1500
3.202383333,0.79836,20,1500
2.60182,1.04966,20,1500
1.777298889,1.0769,20,1500
1.015386667,1.0769,20,1500
0.854139444,1.07542,20,1500
0.357767722,1.06834,20,1500
0.287805056,1.06366,20,1500
0.204807889,1.06122,20,1500
0.304578278,1.06108,20,1500
0.508566444,1.03174,20,1500
0.293658611,0.8486,20,1500
0.579096111,0.49744,20,1500
0.453574722,0,20,1500
1.491146111,0,20,1500
2.079548889,0,20,1500
3.047771667,0,20,1500
3.445136667,0,20,1500
2.955689444,0,20,1500
2.768319444,0,20,1500
3.574103889,0,20,1500
3.576066111,0,20,1500
3.575528889,0,20,1500
3.543483333,0,20,1500
3.329352778,0.027504,20,1500
2.144246667,0.85068,20,1500
1.722893889,1.0769,3,0
3.267727778,1.0769,3,0
2.512622778,1.07446,3,0
0.970856667,1.06378,3,0
0.211630111,1.05568,3,0
0.068140556,1.05002,3,0
0.051324828,1.04712,3,0
0.012334894,1.04674,3,0
0.097108278,1.05014,20,1500
0.114549111,0.94868,20,1500
0.033906133,0.52748,20,1500
0.056411333,0,20,1500
0.032603256,0,20,1500
0.063108056,0,20,1500
0.163026833,0,20,1500
0.915922222,0,20,1500
2.656549444,0,20,1500
2.546638889,0,20,1500
2.032705556,0,20,1500
2.241683333,0,20,1500
1.961152778,0,20,1500
1.426245556,0,20,1500
1.144587778,0.025006,20,1500
0.603729444,0.64306,20,1500
0.892861667,0.92768,20,1500
0.939727778,1.0565,20,1500
0.576025,1.07542,20,1500
0.337966722,1.06662,20,1500
0.157471833,1.0598,20,1500
0.141742944,1.05522,20,1500
0.021659533,1.05292,20,1500
0.010490672,0.99044,20,1500
0.01983225,0.86482,20,1500
0.021003578,0.70074,20,1500
0.018157344,0.37008,20,1500
0.009733217,0,20,1500
0.0259642,0,20,1500
0,0,20,1500
0.277824333,0,20,1500
1.199451667,0,20,1500
2.840438889,0,20,1500
2.850719444,0,20,1500
2.350881111,0,20,1500
2.117108889,0,20,1500
1.466033333,0,20,1500
2.110612778,0,20,1500
2.202757778,0.023596,20,1500
2.595482222,0.81916,20,1500
2.289186111,1.0769,20,1500
1.345738333,1.0769,20,1500
1.933132778,1.06398,20,1500
0.966642222,1.0529,20,1500
0.479562889,1.04416,20,1500
0.888210556,1.03792,20,1500
1.035667222,1.03424,20,1500
1.223422222,1.03334,20,1500
1.494093333,1.03606,20,1500
2.622215556,1.04242,20,1500
3.461708889,0.66562,20,1500
3.224031111,0,20,1500
2.426601667,0,20,1500
2.414661667,0,20,1500
2.163549444,0,20,1500
2.115494444,0,20,1500
1.556164444,0,20,1500
2.191444444,0,20,1500
2.188549444,0,20,1500
2.317731111,0,20,1500
3.454203333,0,20,1500
3.473607222,0,20,1500
3.351593889,0.022146,20,1500
2.993388333,0.8658,20,1500
2.824124444,1.0769,20,1500
2.548445556,1.07414,20,1500
2.177878889,1.06308,20,1500
2.130988333,1.05374,20,1500
1.864939444,1.04628,20,1500
1.707586111,1.041,20,1500
2.153227222,1.03804,20,1500
2.595366111,1.03734,20,1500
2.897157778,1.03986,20,1500
3.177445556,1.02518,20,1500
3.025057778,0.61854,20,1500
3.007493889,0,20,1500
3.059428333,0,20,1500
3.334516111,0,20,1500
3.419582222,0,20,1500
3.545207222,0,20,1500
3.227276667,0,20,1500
3.175912778,0,20,1500
2.573066111,0,20,1500
2.534096111,0,20,1500
3.320627222,0,20,1500
3.009031667,0,20,1500
2.168889444,0.027672,20,1500
2.624332778,0.98668,20,1500
3.331515,1.0767,20,1500
2.735451667,1.063,20,1500
2.034767222,1.05252,20,1500
1.770592222,1.04428,20,1500
1.904562222,0.738,20,1500
1.787777778,0.77706,20,1500
2.006206667,0.68998,20,1500
1.982762222,0.62228,20,1500
2.247222778,0.46418,20,1500
2.142801667,0.19861,20,1500
2.78546,0.072726,20,1500
2.503211667,0,20,1500
2.767947778,0,20,1500
2.911620556,0,20,1500
3.329234444,0,20,1500
3.205256667,0,20,1500
3.09492,0,20,1500
3.033345556,0,20,1500
3.297825556,0,20,1500
2.969047778,0,20,1500
2.837557778,0,20,1500
2.897485556,0,20,1500
3.206017778,0.008275,20,1500
2.230933333,0.175324,20,1500
1.65489,0.66552,20,1500
1.972227778,0.78686,20,1500
1.837156667,0.52114,20,1500
1.457755,0.77272,20,1500
1.507455,0.96472,20,1500
1.439166667,0.3272,20,1500
1.379325556,0.096826,20,1500
1.52021,0.11838,20,1500
1.751936667,0.52524,20,1500
1.849326111,0.149304,20,1500
1.844391667,0.0168214,20,1500
2.284788889,0,20,1500
2.398441667,0,20,1500
2.161000556,0,20,1500
2.950704444,0,20,1500
3.209005,0,20,1500
3.111035,0,20,1500
3.083986667,0,20,1500
2.928346111,0,20,1500
2.551663889,0,20,1500
1.699067222,0,20,1500
2.025431667,0,20,1500
2.420778889,0,20,1500
2.312104444,0.051508,20,1500
1.929346667,0.212319978,20,1500
1.068627222,0.7181,20,1500
0.649578889,0.47308,20,1500
0.450470778,0.138226,20,1500
0.573097222,0.48162,20,1500
0.706906667,0.81732,20,1500
0.524017667,0.8033,20,1500
0.613155,1.0769,20,1500
0.665990556,1.0769,20,1500
0.793337778,1.0769,20,1500
1.566911111,0.67138,20,1500
2.302417222,0,20,1500
2.751330556,0,20,1500
2.967232778,0,20,1500
2.982877222,0,20,1500
2.864815556,0,20,1500
2.666538333,0,20,1500
3.169793889,0,20,1500
3.066353333,0,20,1500
2.386522778,0,20,1500
1.859478889,0,20,1500
1.691343333,0,20,1500
0.959050556,0.0168938,20,1500
0.517272611,0.90894,20,1500
0.76198,1.0769,20,1500
0.614310556,1.0769,20,1500
0.360448389,1.0769,20,1500
0.153663333,1.0769,20,1500
0.180704111,1.0704,20,1500
0.200466278,1.06346,20,1500
0.213626722,1.05948,20,1500
0.335396,1.0585,20,1500
0.320425889,1.06146,20,1500
0.49632,1.06868,20,1500
0.781653333,0.62934,20,1500
1.892374444,0,20,1500
2.459841667,0,20,1500
3.082572778,0,20,1500
3.008703333,0,20,1500
3.42225,0,20,1500
3.341335,0,20,1500
3.27447,0,20,1500
3.233121667,0,20,1500
2.893488889,0,20,1500
2.142813889,0,20,1500
1.53993,0,20,1500
1.518216111,0.0165366,20,1500
0.647258333,0.83112,20,1500
1.388883333,1.0769,20,1500
0.756459444,1.0769,20,1500
0.426955667,1.0769,20,1500
0.035084044,1.0769,20,1500
0.017855722,1.0769,20,1500
0.036694594,1.07394,20,1500
0.086732222,1.07098,20,1500
0.108919944,1.07066,20,1500
0.287949056,1.07388,20,1500
0.858718889,1.02452,20,1500
0.828018889,0.5716,20,1500
1.288589444,0,20,1500
2.727091667,0,20,1500
3.028163889,0,20,1500
3.113146667,0,20,1500
3.12362,0,20,1500
3.079588333,0,20,1500
